# lx      Phi_MS_z05   Phi_MS_low_z05   Phi_MS_upp_z05   Phi_MS_z1   Phi_MS_low_z1   Phi_MS_upp_z1   Phi_MS_z2   Phi_MS_low_z2   Phi_MS_upp_z2   Phi_MS_z3   Phi_MS_low_z3   Phi_MS_upp_z3   Phi_SB_z05   Phi_SB_low_z05   Phi_SB_upp_z05   Phi_SB_z1   Phi_SB_low_z1   Phi_SB_upp_z1   Phi_SB_z2   Phi_SB_low_z2   Phi_SB_upp_z2   Phi_SB_z3   Phi_SB_low_z3   Phi_SB_upp_z3   Phi_TOT_z05   Phi_TOT_low_z05   Phi_TOT_upp_z05   Phi_TOT_z1   Phi_TOT_low_z1   Phi_TOT_upp_z1   Phi_TOT_z2   Phi_TOT_low_z2   Phi_TOT_upp_z2   Phi_TOT_z3   Phi_TOT_low_z3   Phi_TOT_upp_z3   Phi_extrap_MS_z33   Phi_extrap_SB_z33   Phi_extrap_TOT_z33   Phi_extrap_MS_z4   Phi_extrap_SB_z4   Phi_extrap_TOT_z4   Phi_extrap_MS_z5   Phi_extrap_SB_z5   Phi_extrap_TOT_z5  
  40.0    0.005618     0.005093         0.005898         0.001249    7.923E-4        0.001315        1.742E-4    1.409E-4        2.687E-4        5.82E-5     4.935E-5        5.82E-5         2.909E-4     1.796E-4         5.923E-4         2.955E-5    2.122E-5        1.874E-4        5.944E-6    5.778E-6        3.324E-5        2.517E-6    2.517E-6        8.293E-6        0.005909      0.005439          0.006224          0.001279     8.276E-4         0.001451         1.801E-4     1.559E-4         2.972E-4         6.072E-5     5.764E-5         6.072E-5         5.996E-5            1.837E-6            6.18E-5              2.168E-5           1.105E-6           2.278E-5            2.739E-5           1.208E-6           2.86E-5            
  40.01   0.005547     0.005029         0.005824         0.001241    7.883E-4        0.001306        1.74E-4     1.407E-4        2.68E-4         5.817E-5    4.929E-5        5.817E-5        2.873E-4     1.773E-4         5.849E-4         2.936E-5    2.111E-5        1.862E-4        5.936E-6    5.764E-6        3.319E-5        2.515E-6    2.515E-6        8.283E-6        0.005835      0.005371          0.006146          0.001271     8.234E-4         0.001442         1.799E-4     1.557E-4         2.964E-4         6.068E-5     5.757E-5         6.068E-5         5.999E-5            1.838E-6            6.183E-5             2.168E-5           1.105E-6           2.279E-5            2.74E-5            1.208E-6           2.861E-5           
  40.02   0.005478     0.004965         0.00575          0.001233    7.843E-4        0.001298        1.737E-4    1.405E-4        2.674E-4        5.813E-5    4.923E-5        5.813E-5        2.837E-4     1.751E-4         5.775E-4         2.918E-5    2.101E-5        1.85E-4         5.928E-6    5.75E-6         3.313E-5        2.514E-6    2.514E-6        8.273E-6        0.005761      0.005303          0.006068          0.001262     8.192E-4         0.001433         1.796E-4     1.555E-4         2.957E-4         6.065E-5     5.75E-5          6.065E-5         6.002E-5            1.839E-6            6.186E-5             2.169E-5           1.105E-6           2.28E-5             2.74E-5            1.208E-6           2.861E-5           
  40.03   0.005409     0.004903         0.005678         0.001225    7.803E-4        0.00129         1.735E-4    1.403E-4        2.667E-4        5.81E-5     4.917E-5        5.81E-5         2.801E-4     1.729E-4         5.703E-4         2.899E-5    2.09E-5         1.838E-4        5.919E-6    5.735E-6        3.308E-5        2.512E-6    2.512E-6        8.263E-6        0.005689      0.005236          0.005992          0.001254     8.151E-4         0.001424         1.794E-4     1.553E-4         2.95E-4          6.061E-5     5.743E-5         6.061E-5         6.004E-5            1.839E-6            6.188E-5             2.17E-5            1.106E-6           2.28E-5             2.741E-5           1.208E-6           2.861E-5           
  40.04   0.005341     0.004841         0.005606         0.001218    7.763E-4        0.001281        1.732E-4    1.401E-4        2.661E-4        5.807E-5    4.911E-5        5.807E-5        2.766E-4     1.707E-4         5.631E-4         2.881E-5    2.079E-5        1.827E-4        5.911E-6    5.722E-6        3.303E-5        2.511E-6    2.511E-6        8.252E-6        0.005617      0.005171          0.005916          0.001246     8.109E-4         0.001415         1.791E-4     1.55E-4          2.943E-4         6.058E-5     5.736E-5         6.058E-5         6.007E-5            1.84E-6             6.191E-5             2.17E-5            1.106E-6           2.281E-5            2.741E-5           1.208E-6           2.862E-5           
  40.05   0.005273     0.00478          0.005536         0.00121     7.724E-4        0.001273        1.73E-4     1.399E-4        2.654E-4        5.803E-5    4.904E-5        5.803E-5        2.731E-4     1.686E-4         5.56E-4          2.862E-5    2.069E-5        1.815E-4        5.903E-6    5.708E-6        3.298E-5        2.509E-6    2.509E-6        8.242E-6        0.005546      0.005105          0.005842          0.001238     8.068E-4         0.001406         1.789E-4     1.548E-4         2.936E-4         6.054E-5     5.729E-5         6.054E-5         6.01E-5             1.841E-6            6.194E-5             2.171E-5           1.106E-6           2.281E-5            2.742E-5           1.209E-6           2.862E-5           
  40.06   0.005207     0.00472          0.005466         0.001202    7.685E-4        0.001265        1.727E-4    1.397E-4        2.648E-4        5.8E-5      4.898E-5        5.8E-5          2.696E-4     1.665E-4         5.49E-4          2.844E-5    2.058E-5        1.803E-4        5.895E-6    5.694E-6        3.293E-5        2.508E-6    2.508E-6        8.232E-6        0.005477      0.005041          0.005769          0.001231     8.027E-4         0.001397         1.786E-4     1.546E-4         2.928E-4         6.051E-5     5.722E-5         6.051E-5         6.013E-5            1.842E-6            6.197E-5             2.171E-5           1.107E-6           2.282E-5            2.742E-5           1.209E-6           2.863E-5           
  40.07   0.005141     0.004661         0.005397         0.001194    7.646E-4        0.001257        1.725E-4    1.395E-4        2.642E-4        5.797E-5    4.892E-5        5.797E-5        2.663E-4     1.644E-4         5.421E-4         2.826E-5    2.048E-5        1.792E-4        5.886E-6    5.68E-6         3.288E-5        2.507E-6    2.507E-6        8.222E-6        0.005408      0.004978          0.005696          0.001223     7.987E-4         0.001388         1.784E-4     1.544E-4         2.921E-4         6.047E-5     5.714E-5         6.047E-5         6.015E-5            1.843E-6            6.2E-5               2.172E-5           1.107E-6           2.283E-5            2.742E-5           1.209E-6           2.863E-5           
  40.08   0.005077     0.004602         0.005329         0.001187    7.607E-4        0.001249        1.723E-4    1.393E-4        2.635E-4        5.793E-5    4.886E-5        5.793E-5        2.629E-4     1.623E-4         5.353E-4         2.808E-5    2.038E-5        1.78E-4         5.878E-6    5.666E-6        3.284E-5        2.505E-6    2.505E-6        8.211E-6        0.00534       0.004915          0.005624          0.001215     7.946E-4         0.001379         1.781E-4     1.542E-4         2.914E-4         6.044E-5     5.707E-5         6.044E-5         6.018E-5            1.844E-6            6.202E-5             2.172E-5           1.107E-6           2.283E-5            2.743E-5           1.209E-6           2.864E-5           
  40.09   0.005013     0.004544         0.005262         0.001179    7.568E-4        0.001241        1.72E-4     1.391E-4        2.629E-4        5.79E-5     4.88E-5         5.79E-5         2.596E-4     1.603E-4         5.285E-4         2.79E-5     2.027E-5        1.769E-4        5.87E-6     5.652E-6        3.279E-5        2.504E-6    2.504E-6        8.201E-6        0.005272      0.004853          0.005553          0.001207     7.906E-4         0.00137          1.779E-4     1.54E-4          2.907E-4         6.04E-5      5.7E-5           6.04E-5          6.021E-5            1.844E-6            6.205E-5             2.173E-5           1.108E-6           2.284E-5            2.743E-5           1.209E-6           2.864E-5           
  40.1    0.00495      0.004487         0.005196         0.001172    7.53E-4         0.001233        1.718E-4    1.389E-4        2.622E-4        5.787E-5    4.874E-5        5.787E-5        2.563E-4     1.582E-4         5.219E-4         2.772E-5    2.017E-5        1.758E-4        5.861E-6    5.638E-6        3.274E-5        2.502E-6    2.502E-6        8.191E-6        0.005206      0.004792          0.005484          0.001199     7.866E-4         0.001361         1.776E-4     1.537E-4         2.9E-4           6.037E-5     5.693E-5         6.037E-5         6.024E-5            1.845E-6            6.208E-5             2.174E-5           1.108E-6           2.284E-5            2.744E-5           1.209E-6           2.865E-5           
  40.11   0.004887     0.00443          0.005131         0.001164    7.492E-4        0.001225        1.715E-4    1.387E-4        2.616E-4        5.783E-5    4.868E-5        5.783E-5        2.531E-4     1.562E-4         5.153E-4         2.754E-5    2.007E-5        1.747E-4        5.853E-6    5.625E-6        3.269E-5        2.501E-6    2.501E-6        8.181E-6        0.005141      0.004732          0.005415          0.001192     7.826E-4         0.001353         1.774E-4     1.535E-4         2.893E-4         6.033E-5     5.686E-5         6.033E-5         6.026E-5            1.846E-6            6.211E-5             2.174E-5           1.108E-6           2.285E-5            2.744E-5           1.21E-6            2.865E-5           
  40.12   0.004826     0.004375         0.005066         0.001157    7.454E-4        0.001217        1.713E-4    1.386E-4        2.609E-4        5.78E-5     4.862E-5        5.78E-5         2.499E-4     1.543E-4         5.088E-4         2.737E-5    1.996E-5        1.735E-4        5.845E-6    5.611E-6        3.264E-5        2.499E-6    2.499E-6        8.171E-6        0.005076      0.004672          0.005346          0.001184     7.786E-4         0.001344         1.771E-4     1.533E-4         2.886E-4         6.03E-5      5.679E-5         6.03E-5          6.029E-5            1.847E-6            6.214E-5             2.175E-5           1.108E-6           2.286E-5            2.745E-5           1.21E-6            2.866E-5           
  40.13   0.004765     0.00432          0.005002         0.001149    7.416E-4        0.00121         1.711E-4    1.384E-4        2.603E-4        5.777E-5    4.856E-5        5.777E-5        2.468E-4     1.523E-4         5.024E-4         2.719E-5    1.986E-5        1.724E-4        5.837E-6    5.597E-6        3.259E-5        2.498E-6    2.498E-6        8.16E-6         0.005012      0.004614          0.005279          0.001177     7.746E-4         0.001335         1.769E-4     1.531E-4         2.879E-4         6.026E-5     5.672E-5         6.026E-5         6.032E-5            1.848E-6            6.217E-5             2.175E-5           1.109E-6           2.286E-5            2.745E-5           1.21E-6            2.866E-5           
  40.14   0.004705     0.004265         0.00494          0.001142    7.378E-4        0.001202        1.708E-4    1.382E-4        2.597E-4        5.773E-5    4.85E-5         5.773E-5        2.437E-4     1.504E-4         4.961E-4         2.702E-5    1.976E-5        1.713E-4        5.829E-6    5.584E-6        3.254E-5        2.496E-6    2.496E-6        8.15E-6         0.004949      0.004556          0.005213          0.001169     7.707E-4         0.001327         1.766E-4     1.529E-4         2.872E-4         6.023E-5     5.665E-5         6.023E-5         6.035E-5            1.849E-6            6.219E-5             2.176E-5           1.109E-6           2.287E-5            2.745E-5           1.21E-6            2.866E-5           
